grid_id,name,coordinates
340,C4:3,"((40.75669494117647, -73.87570679999999)(40.75669494117647, -73.8725834)(40.75355017647059, -73.8725834)(40.75355017647059, -73.87570679999999)(40.75669494117647, -73.87570679999999))"
340,C4:4,"((40.75669494117647, -73.8725834)(40.75669494117647, -73.86946)(40.75355017647059, -73.86946)(40.75355017647059, -73.8725834)(40.75669494117647, -73.8725834))"
340,C4:5,"((40.75669494117647, -73.86946)(40.75669494117647, -73.8663366)(40.75355017647059, -73.8663366)(40.75355017647059, -73.86946)(40.75669494117647, -73.86946))"
340,C4:6,"((40.75669494117647, -73.8663366)(40.75669494117647, -73.86321319999999)(40.75355017647059, -73.86321319999999)(40.75355017647059, -73.8663366)(40.75669494117647, -73.8663366))"
340,C4:7,"((40.75669494117647, -73.86321319999999)(40.75669494117647, -73.8600898)(40.75355017647059, -73.8600898)(40.75355017647059, -73.86321319999999)(40.75669494117647, -73.86321319999999))"
340,C4:8,"((40.75669494117647, -73.8600898)(40.75669494117647, -73.8569664)(40.75355017647059, -73.8569664)(40.75355017647059, -73.8600898)(40.75669494117647, -73.8600898))"
340,C4:9,"((40.75669494117647, -73.8569664)(40.75669494117647, -73.853843)(40.75355017647059, -73.853843)(40.75355017647059, -73.8569664)(40.75669494117647, -73.8569664))"
340,C4:10,"((40.75669494117647, -73.853843)(40.75669494117647, -73.85071959999999)(40.75355017647059, -73.85071959999999)(40.75355017647059, -73.853843)(40.75669494117647, -73.853843))"
340,C4:11,"((40.75669494117647, -73.85071959999999)(40.75669494117647, -73.8475962)(40.75355017647059, -73.8475962)(40.75355017647059, -73.85071959999999)(40.75669494117647, -73.85071959999999))"
340,C4:12,"((40.75669494117647, -73.8475962)(40.75669494117647, -73.8444728)(40.75355017647059, -73.8444728)(40.75355017647059, -73.8475962)(40.75669494117647, -73.8475962))"
340,C4:13,"((40.75669494117647, -73.8444728)(40.75669494117647, -73.8413494)(40.75355017647059, -73.8413494)(40.75355017647059, -73.8444728)(40.75669494117647, -73.8444728))"
