cell_id,grid_id,cell_names,coordinates
366,181398528,C5:7,0103000020E61000000100000005000000C87A6AF5D5DD4540C5451FD490DF53C0C87A6AF5D5DD45405948B3F05FDF53C026039BCEA9DD45405948B3F05FDF53C026039BCEA9DD4540C5451FD490DF53C0C87A6AF5D5DD4540C5451FD490DF53C0
367,181398528,C5:8,0103000020E61000000100000005000000C87A6AF5D5DD45405948B3F05FDF53C0C87A6AF5D5DD4540ED4A470D2FDF53C026039BCEA9DD4540ED4A470D2FDF53C026039BCEA9DD45405948B3F05FDF53C0C87A6AF5D5DD45405948B3F05FDF53C0
368,181398528,C5:9,0103000020E61000000100000005000000C87A6AF5D5DD4540ED4A470D2FDF53C0C87A6AF5D5DD4540814DDB29FEDE53C026039BCEA9DD4540814DDB29FEDE53C026039BCEA9DD4540ED4A470D2FDF53C0C87A6AF5D5DD4540ED4A470D2FDF53C0
369,181398528,C5:10,0103000020E61000000100000005000000C87A6AF5D5DD4540814DDB29FEDE53C0C87A6AF5D5DD454015506F46CDDE53C026039BCEA9DD454015506F46CDDE53C026039BCEA9DD4540814DDB29FEDE53C0C87A6AF5D5DD4540814DDB29FEDE53C0
370,181398528,C6:0,0103000020E6100000010000000500000026039BCEA9DD4540B933130CE7E053C026039BCEA9DD45404D36A728B6E053C0848BCBA77DDD45404D36A728B6E053C0848BCBA77DDD4540B933130CE7E053C026039BCEA9DD4540B933130CE7E053C0
371,181398528,C6:1,0103000020E6100000010000000500000026039BCEA9DD45404D36A728B6E053C026039BCEA9DD4540E1383B4585E053C0848BCBA77DDD4540E1383B4585E053C0848BCBA77DDD45404D36A728B6E053C026039BCEA9DD45404D36A728B6E053C0
372,181398528,C6:2,0103000020E6100000010000000500000026039BCEA9DD4540E1383B4585E053C026039BCEA9DD4540753BCF6154E053C0848BCBA77DDD4540753BCF6154E053C0848BCBA77DDD4540E1383B4585E053C026039BCEA9DD4540E1383B4585E053C0
373,181398528,C6:3,0103000020E6100000010000000500000026039BCEA9DD4540753BCF6154E053C026039BCEA9DD4540093E637E23E053C0848BCBA77DDD4540093E637E23E053C0848BCBA77DDD4540753BCF6154E053C026039BCEA9DD4540753BCF6154E053C0
374,181398528,C6:4,0103000020E6100000010000000500000026039BCEA9DD4540093E637E23E053C026039BCEA9DD45409D40F79AF2DF53C0848BCBA77DDD45409D40F79AF2DF53C0848BCBA77DDD4540093E637E23E053C026039BCEA9DD4540093E637E23E053C0
375,181398528,C6:5,0103000020E6100000010000000500000026039BCEA9DD45409D40F79AF2DF53C026039BCEA9DD454031438BB7C1DF53C0848BCBA77DDD454031438BB7C1DF53C0848BCBA77DDD45409D40F79AF2DF53C026039BCEA9DD45409D40F79AF2DF53C0
376,181398528,C6:6,0103000020E6100000010000000500000026039BCEA9DD454031438BB7C1DF53C026039BCEA9DD4540C5451FD490DF53C0848BCBA77DDD4540C5451FD490DF53C0848BCBA77DDD454031438BB7C1DF53C026039BCEA9DD454031438BB7C1DF53C0
377,181398528,C6:7,0103000020E6100000010000000500000026039BCEA9DD4540C5451FD490DF53C026039BCEA9DD45405948B3F05FDF53C0848BCBA77DDD45405948B3F05FDF53C0848BCBA77DDD4540C5451FD490DF53C026039BCEA9DD4540C5451FD490DF53C0
