traj_id,cell_id,cell_names
397,3231,C3:15
205,3960,C27:24
362,3948,C27:12
308,3378,C8:12
213,3523,C13:7
169,3458,C11:2
234,3805,C22:19
138,3938,C27:2
250,3671,C18:5
21,3269,C4:23
267,3641,C17:5
394,3402,C9:6
257,3611,C16:5
133,3705,C19:9
401,3590,C15:14
450,3229,C3:13
261,3856,C24:10
4,3688,C18:22
109,3471,C11:15
197,3854,C24:8
438,3622,C16:16
419,3539,C13:23
389,3770,C21:14
346,3912,C26:6
396,3985,C28:19
310,3680,C18:14
409,3689,C18:23
394,3432,C10:6
61,3460,C11:4
36,3693,C18:27
391,3329,C6:23
33,3231,C3:15
47,3279,C5:3
270,3680,C18:14
417,3757,C21:1
239,3804,C22:18
113,3488,C12:2
188,3789,C22:3
286,3618,C16:12
366,3994,C28:28
351,3460,C11:4
448,3819,C23:3
292,3601,C15:25
46,3472,C11:16
60,3520,C13:4
332,3843,C23:27
381,3614,C16:8
417,3787,C22:1
16,3645,C17:9
253,3149,C0:23
127,3815,C22:29
127,3785,C21:29
178,3444,C10:18
183,3935,C26:29
18,3553,C14:7
112,3701,C19:5
314,3584,C15:8
74,3784,C21:28
370,3826,C23:10
468,3202,C2:16
286,3588,C15:12
322,3688,C18:22
193,3584,C15:8
319,3363,C7:27
220,3762,C21:6
204,3446,C10:20
347,3510,C12:24
287,3472,C11:16
3,3893,C25:17
18,3523,C13:7
50,3526,C13:10
221,3760,C21:4
83,3720,C19:24
470,3775,C21:19
300,3782,C21:26
165,3207,C2:21
360,3857,C24:11
114,3770,C21:14
442,3770,C21:14
54,3751,C20:25
182,3857,C24:11
443,3863,C24:17
328,3581,C15:5
113,3458,C11:2
183,3905,C25:29
350,3261,C4:15
353,3511,C12:25
35,3175,C1:19
309,3459,C11:3
339,3301,C5:25
224,3896,C25:20
118,3987,C28:21
480,3524,C13:8
75,3223,C3:7
278,3923,C26:17
271,3541,C13:25
223,3935,C26:29
135,3615,C16:9
55,3601,C15:25
306,3813,C22:27
160,3671,C18:5
209,3201,C2:15
295,3460,C11:4
467,3280,C5:4
336,3918,C26:12
155,3637,C17:1
247,3620,C16:14
281,3712,C19:16
110,4012,C29:16
49,3172,C1:16
491,3431,C10:5
336,3948,C27:12
261,3857,C24:11
226,3222,C3:6
265,3490,C12:4
318,3865,C24:19
254,3511,C12:25
