t_coordinates,poi
POINT(43.73379 -79.5054),POINT(43.7338679 -79.5044768)
POINT(43.73379 -79.50537),POINT(43.7338679 -79.5044768)
POINT(43.73379 -79.50532),POINT(43.7338679 -79.5044768)
POINT(43.7337452373148 -79.5047007748264),POINT(43.7338679 -79.5044768)
POINT(43.73373 -79.50449),POINT(43.7338679 -79.5044768)
POINT(43.73372 -79.50442),POINT(43.7338679 -79.5044768)
POINT(43.73372 -79.50439),POINT(43.7338679 -79.5044768)
POINT(43.73371 -79.50435),POINT(43.7338679 -79.5044768)
POINT(43.73369 -79.5043),POINT(43.7338679 -79.5044768)
POINT(43.73367 -79.50427),POINT(43.7338679 -79.5044768)
POINT(43.73365 -79.50424),POINT(43.7338679 -79.5044768)
POINT(43.73363 -79.50421),POINT(43.7338679 -79.5044768)
POINT(43.7336 -79.50419),POINT(43.7338679 -79.5044768)
POINT(43.73358 -79.50418),POINT(43.7338679 -79.5044768)
POINT(43.73354 -79.50417),POINT(43.7338679 -79.5044768)
POINT(43.73345 -79.50415),POINT(43.7338679 -79.5044768)
POINT(43.73335 -79.50413),POINT(43.7338679 -79.5044768)
POINT(43.73325 -79.5041),POINT(43.7338679 -79.5044768)
POINT(43.7332 -79.50409),POINT(43.7338679 -79.5044768)
POINT(43.73316 -79.50408),POINT(43.7338679 -79.5044768)
POINT(43.73312 -79.50407),POINT(43.7338679 -79.5044768)
POINT(43.73309 -79.50405),POINT(43.7338679 -79.5044768)
POINT(43.7329086948359 -79.5033237251912),POINT(43.7322922 -79.5025957)
POINT(43.7330373896719 -79.5027274491011),POINT(43.7322922 -79.5025957)
POINT(43.73308 -79.50253),POINT(43.7322922 -79.5025957)
POINT(43.73309 -79.50248),POINT(43.7322922 -79.5025957)
POINT(43.7300542499174 -79.4864203915236),POINT(43.7295021 -79.4869199)
POINT(43.72997 -79.48679),POINT(43.7295021 -79.4869199)
POINT(43.7299 -79.48708),POINT(43.7295021 -79.4869199)
POINT(43.72968 -79.48699),POINT(43.7295021 -79.4869199)
POINT(43.7292477363441 -79.4868185846618),POINT(43.7286224 -79.4873362)
POINT(43.7292477363441 -79.4868185846618),POINT(43.7295021 -79.4869199)
POINT(43.7291 -79.48676),POINT(43.7286224 -79.4873362)
POINT(43.7291 -79.48676),POINT(43.7295021 -79.4869199)
POINT(43.72914 -79.48657),POINT(43.7286224 -79.4873362)
POINT(43.72914 -79.48657),POINT(43.7295021 -79.4869199)
POINT(43.72919 -79.48637),POINT(43.7295021 -79.4869199)
POINT(43.72923 -79.48619),POINT(43.7295021 -79.4869199)
POINT(43.72923 -79.48619),POINT(43.7286571 -79.4853918)
POINT(43.72929 -79.48596),POINT(43.7295021 -79.4869199)
POINT(43.72929 -79.48596),POINT(43.7286571 -79.4853918)
POINT(43.72934 -79.48577),POINT(43.7286571 -79.4853918)
POINT(43.72939 -79.48556),POINT(43.7286571 -79.4853918)
POINT(43.72945 -79.4853),POINT(43.7286571 -79.4853918)
POINT(43.73605 -79.5122),POINT(43.7354125 -79.5120394)
POINT(43.73611 -79.51221),POINT(43.7354125 -79.5120394)
POINT(43.7365 -79.51232),POINT(43.7372096 -79.512633)
POINT(43.73683 -79.51241),POINT(43.7372096 -79.512633)
POINT(43.73683 -79.51241),POINT(43.7374607 -79.5126365)
POINT(43.73711 -79.51248),POINT(43.7372096 -79.512633)
POINT(43.73711 -79.51248),POINT(43.7374607 -79.5126365)
POINT(43.73736 -79.51255),POINT(43.7372096 -79.512633)
POINT(43.73736 -79.51255),POINT(43.7374607 -79.5126365)
