p_id,point
ChIJWdX7lbsxK4gRHoeQpHz-89M,POINT(43.7393377 -79.4999234)
ChIJwStRkZoxK4gR6DX4DflzkMQ,POINT(43.7335973 -79.4834385)
ChIJwXgPy6kxK4gRnlXhSBP6MKY,POINT(43.7282136 -79.5070908)
ChIJwznGhaExK4gRUsWlKOjA2BQ,POINT(43.7304544 -79.49515)
ChIJX5IEKaIxK4gRTITWuLV13GY,POINT(43.730998 -79.495197)
ChIJx9vSIqIxK4gRAlpI5BHk3Jc,POINT(43.731338 -79.4944327)
ChIJxwF8VZExK4gRD7o8borD830,POINT(43.7395285 -79.4870719)
ChIJXx75_bIxK4gRyJFKo1688EE,POINT(43.73956 -79.512946)
ChIJXz1HPpsxK4gR5hd76ZSPdxY,POINT(43.731068 -79.482948)
ChIJXZSBgpoxK4gRrlChJty8ttE,POINT(43.7345061 -79.4839106)
ChIJx_J03QkxK4gRO1bJAl-XUTk,POINT(43.7260917 -79.500004)
ChIJY4LNb64xK4gRQHovHpvuE7E,POINT(43.7352239 -79.5090141)
ChIJYa9FOgAxK4gR7-L15PtVHz4,POINT(43.7262375 -79.5144944)
ChIJySGT27QxK4gRa9-lbxy20Sg,POINT(43.7396329 -79.5142348)
ChIJySmKza4xK4gRyy_2eRRIPNk,POINT(43.732132 -79.5077054)
ChIJYTv9-rIxK4gRFxSBycqDAYE,POINT(43.7390828 -79.5132047)
ChIJYTv9-rIxK4gRyGJhbnlOjk0,POINT(43.7391007 -79.5130423)
ChIJyUEX-wcxK4gRQraTcZgsNDI,POINT(43.726438 -79.5045955)
ChIJYVCifbExK4gRFo-v8rHo43g,POINT(43.739684 -79.5096585)
ChIJz18e_pwxK4gR3wqi8hn5LT0,POINT(43.727437 -79.4841699)
ChIJZ2BwMYUxK4gRITiWvNGMyO8,POINT(43.7326388 -79.481229)
ChIJZbF7EKoxK4gRVkuJxiDzfEo,POINT(43.7282234 -79.5103669)
ChIJZcMR2pcxK4gRLgmnHCpSEQo,POINT(43.7370666 -79.492475)
ChIJ_0bo-7IxK4gRuzKMx0cjL80,POINT(43.739207 -79.512969)
ChIJ_0rF3J4xK4gRbbDTySHUzPg,POINT(43.7285097 -79.4887018)
ChIJ_3W7BrIxK4gRVNdaFXoNo4k,POINT(43.7371881 -79.5102358)
ChIJ_Te20ZcxK4gRDCLbFkPh2XA,POINT(43.737238 -79.492276)
ChIJ_yDMoJwxK4gRTaNDmAKjy6E,POINT(43.7295648 -79.4827136)
